Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 24-Mar-2025),Crossref citations (as of 24-Mar-2025)
Discrete-Time Survival Analysis Incorporating Time Structure in Developmental Research,"Kahyun Lee, Kejin Lee, Sooyong Lee",Structural Equation Modeling: A Multidisciplinary Journal,,,p1 - p12,5187,10.1080/10705511.2024.2432598,17-Dec-2024,https://doi.org/10.1080/10705511.2024.2432598,71.0,0.0
Application of Associative Discrete-Time Survival Analysis Using Latent Transition Specification,"Kahyun Lee, Sooyong Lee, Tiffany A Whittaker",Structural Equation Modeling: A Multidisciplinary Journal,30,5,p831 - p842,2023,10.1080/10705511.2022.2138892,16-Nov-2022,https://doi.org/10.1080/10705511.2022.2138892,289.0,0.0
Applying Kaplan-Meier to Item Response Data,Daniel McNeish,The Journal of Experimental Education,86,2,p308 - p324,2018,10.1080/00220973.2017.1301355,17-Mar-2017,https://doi.org/10.1080/00220973.2017.1301355,217.0,1.0
Survival analysis for Hispanic ELL students' access to postsecondary schools: discrete model or Cox regression?,"Mido Chang, Sunha Kim, Jeehyun Park",International Journal of Research & Method in Education,41,5,p514 - p535,2018,10.1080/1743727x.2017.1307956,03-Apr-2017,https://doi.org/10.1080/1743727x.2017.1307956,318.0,3.0
"Student psychological distress and degree dropout or completion: a discrete-time, competing risks survival analysis","Stefan Cvetkovski, Anthony F Jorm, Andrew J Mackinnon",Higher Education Research & Development,37,3,p484 - p498,2018,10.1080/07294360.2017.1404557,21-Nov-2017,https://doi.org/10.1080/07294360.2017.1404557,1831.0,21.0
Individual Mobility across Clusters: The Impact of Ignoring Cross-Classified Data Structures in Discrete-Time Survival Analysis,"Christopher J Cappelli, Audrey J Leroux, Katherine E Masyn",Multivariate Behavioral Research,59,1,p171 - p186,2024,10.1080/00273171.2023.2230481,04-Sep-2023,https://doi.org/10.1080/00273171.2023.2230481,187.0,0.0
Using Latent Variable Modeling for Discrete Time Survival Analysis: Examining the Links of Depression to Mortality,"Philip B Gorelick, George A Marcoulides, Tenko Raykov, Anna Zajacova",Structural Equation Modeling: A Multidisciplinary Journal,25,2,p287 - p293,2018,10.1080/10705511.2017.1364969,20-Sep-2017,https://doi.org/10.1080/10705511.2017.1364969,487.0,4.0
A Dual-Process Discrete-Time Survival Analysis Model: Application to the Gateway Drug Hypothesis,"Dorian A Lamis, Patrick S Malone, Katherine E Masyn, Thomas F Northrup",Multivariate Behavioral Research,45,5,p790 - p805,2010,10.1080/00273171.2010.519277,15-Nov-2010,https://doi.org/10.1080/00273171.2010.519277,488.0,5.0
Sufficient Sample Sizes for Discrete-Time Survival Analysis Mixture Models,Mirjam Moerbeek,Structural Equation Modeling: A Multidisciplinary Journal,21,1,p63 - p67,2014,10.1080/10705511.2014.856697,31-Jan-2014,https://doi.org/10.1080/10705511.2014.856697,510.0,4.0
The determinants of academic outcomes in a competing risks approach: evidence from Italy,"Renata Clerici, Anna Giraldo, Silvia Meggiolaro",Studies in Higher Education,40,9,p1535 - p1549,2015,10.1080/03075079.2013.878835,28-Mar-2014,https://doi.org/10.1080/03075079.2013.878835,575.0,21.0
Discrete Time Survival Analysis Via Latent Variable Modeling: A Note on Lagged Depression Links to Stroke in Middle and Late Life,"Philip B Gorelick, George A Marcoulides, Tenko Raykov, Anna Zajacova",Structural Equation Modeling: A Multidisciplinary Journal,25,1,p115 - p120,2018,10.1080/10705511.2017.1327817,12-Jun-2017,https://doi.org/10.1080/10705511.2017.1327817,386.0,4.0
On the Potential of Discrete Time Survival Analysis Using Latent Variable Modeling: An Application to the Study of the Vascular Depression Hypothesis,"Philip B Gorelick, George A Marcoulides, Tenko Raykov, Anna Zajacova",Structural Equation Modeling: A Multidisciplinary Journal,24,6,p926 - p935,2017,10.1080/10705511.2017.1315305,01-May-2017,https://doi.org/10.1080/10705511.2017.1315305,1018.0,10.0
College President Departure After No-Confidence Votes: An Event History Analysis,Willis A Jones,The Journal of Higher Education,,,p1 - p21,5187,10.1080/00221546.2024.2389760,21-Aug-2024,https://doi.org/10.1080/00221546.2024.2389760,175.0,0.0
Identifying Unobserved Hazard Functions in Discrete-Time Survival Mixture Analysis,"Xitao Fan, James Peugh",Structural Equation Modeling: A Multidisciplinary Journal,24,1,p1 - p16,2017,10.1080/10705511.2016.1242372,26-Oct-2016,https://doi.org/10.1080/10705511.2016.1242372,453.0,1.0
A multilevel competing risks model for analysis of university students' careers in Italy,"Renata Clerici, Anna Giraldo, Silvia Meggiolaro",Studies in Higher Education,42,7,p1259 - p1274,2017,10.1080/03075079.2015.1087995,29-Sep-2015,https://doi.org/10.1080/03075079.2015.1087995,679.0,28.0
Survival analysis of unemployment duration: a case study of Vietnam,"Tran Kim Anh, Dinh Thi Ha, Ninh Thi Hoang Lan, Dao The Son, le Mai Trang",Journal of Education and Work,37,1-4,p216 - p233,2024,10.1080/13639080.2024.2383562,04-Aug-2024,https://doi.org/10.1080/13639080.2024.2383562,183.0,1.0
Academic survival: student retention in sport and exercise sciences,"Andrew Simpson, Lois Smith, Amy Tomlinson, Chris Wilcox",Journal of Further and Higher Education,48,5,p524 - p537,2024,10.1080/0309877x.2024.2356567,20-May-2024,https://doi.org/10.1080/0309877x.2024.2356567,710.0,0.0
Friendship Dissolution Within Social Networks Modeled Through Multilevel Event History Analysis,"Daniel J Bauer, Danielle O Dean, Mitchell J Prinstein",Multivariate Behavioral Research,52,3,p271 - p289,2017,10.1080/00273171.2016.1267605,02-May-2017,https://doi.org/10.1080/00273171.2016.1267605,951.0,8.0
Statewide Community College Promise Programs: An Event History Analysis,"Kelsey Kunkle, Barrett Taylor",Community College Journal of Research and Practice,,,p1 - p14,5187,10.1080/10668926.2024.2386672,02-Aug-2024,https://doi.org/10.1080/10668926.2024.2386672,166.0,0.0
"An Event History Analysis of Teacher Attrition: Salary, Teacher Tracking, and Socially Disadvantaged Schools",Sean Kelly,The Journal of Experimental Education,72,3,p195 - p220,2004,10.3200/jexe.72.3.195-220,07-Aug-2010,https://doi.org/10.3200/jexe.72.3.195-220,931.0,78.0
The retention and attrition of early-career music teachers: a survival analysis,David S Miller,Arts Education Policy Review,126,2,p82 - p98,2025,10.1080/10632913.2024.2329699,19-Mar-2024,https://doi.org/10.1080/10632913.2024.2329699,482.0,2.0
Using a Cox Regression Model to Examine Voluntary Teacher Turnover,Gerald J Adams,The Journal of Experimental Education,64,3,p267 - p285,1996,10.1080/00220973.1996.9943807,14-Jul-2010,https://doi.org/10.1080/00220973.1996.9943807,63.0,33.0
Dropping out of higher education in France: a micro-economic approach using survival analysis,Nicolas Gury,Education Economics,19,1,p51 - p64,2011,10.1080/09645290902796357,01-Apr-2009,https://doi.org/10.1080/09645290902796357,926.0,39.0
The Impact of Tutoring on the Academic Success of Undeclared Students,"Kelly McKenzie, David Reinheimer",Journal of College Reading and Learning,41,2,p22 - p36,2011,10.1080/10790195.2011.10850340,07-Jul-2014,https://doi.org/10.1080/10790195.2011.10850340,474.0,22.0
When will I succeed in my first-year diploma? Survival analysis in Dutch higher education,"Marjon Bruinsma, Ellen P W A Jansen",Higher Education Research & Development,28,1,p99 - p114,2009,10.1080/07294360802444396,31-Mar-2009,https://doi.org/10.1080/07294360802444396,1920.0,20.0
A comparison between two systems of university education: years of study versus credit accumulation,"Catherine Dehon, Léonore Lebouteiller",Education Economics,33,2,p258 - p276,2025,10.1080/09645292.2023.2301333,11-Jan-2024,https://doi.org/10.1080/09645292.2023.2301333,113.0,0.0
Drivers of academic pathways in higher education: traditional vs. non-traditional students,"Pedro Carreira, Ana Sofia Lopes",Studies in Higher Education,46,7,p1340 - p1355,2021,10.1080/03075079.2019.1675621,10-Oct-2019,https://doi.org/10.1080/03075079.2019.1675621,2545.0,20.0
Barriers to school retention in Pakistan: an evaluation using survival analysis,"Alvina Sabah Idrees, Saima Sarwar",Educational Research and Evaluation,,,p1 - p31,5187,10.1080/13803611.2024.2433208,29-Nov-2024,https://doi.org/10.1080/13803611.2024.2433208,99.0,0.0
Selection and educational attainment: why some children are left behind? Evidence from a middle-income country,"Luciana Méndez-Errico, Xavier Ramos",Education Economics,30,6,p624 - p643,2022,10.1080/09645292.2022.2027875,24-Jan-2022,https://doi.org/10.1080/09645292.2022.2027875,212.0,0.0
Breaking Stereotypes About Alumni Donors: Who Gives First? A Discrete-Time Hazard Model,"Noah D Drezner, Chase D McNamee",The Journal of Higher Education,93,2,p220 - p247,2022,10.1080/00221546.2021.1964918,20-Sep-2021,https://doi.org/10.1080/00221546.2021.1964918,898.0,2.0
"Drug Use Prevention Data, Missed Assessments and Survival Analysis","James C Anthony, Jennifer M Bacik, Susan A Murphy",Multivariate Behavioral Research,33,4,p573 - p588,1998,10.1207/s15327906mbr3304_6,10-Jun-2010,https://doi.org/10.1207/s15327906mbr3304_6,77.0,4.0
Bayesian Survival Analysis in STAN for Improved Measuring of Uncertainty in Parameter Estimates,Riko Kelter,Measurement: Interdisciplinary Research and Perspectives,18,2,p101 - p109,2020,10.1080/15366367.2019.1689761,01-Jun-2020,https://doi.org/10.1080/15366367.2019.1689761,841.0,8.0
Policy innovation and tertiary education graduation rates: a cross-country analysis,"Jennifer A Delaney, Patricia Yu",Compare: A Journal of Comparative and International Education,43,3,p387 - p409,2013,10.1080/03057925.2012.728375,26-Oct-2012,https://doi.org/10.1080/03057925.2012.728375,681.0,5.0
The Expected Monetary Value of a Student: A Model and Example,"Ronald Hoverstad, Ray Sylvester, Kevin E Voss",Journal of Marketing for Higher Education,10,4,p51 - p62,2001,10.1300/j050v10n04_04,21-Oct-2008,https://doi.org/10.1300/j050v10n04_04,123.0,2.0
