spol,spol_starša,izob_matere,izob_očeta,število,izpolnjeval,vključen,status_matere,status_očeta,jezik,OPP,drugo,age_in_months,starost_vkljucitev,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
moški,ženski,magisterij ali doktorat znanosti,magisterij ali doktorat znanosti,5.0,Prvorojenega/edinega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Srb-hr,ne,,85.0,16.0,2.0,2.0,2.0,2.0,2.0,2.0,0.5,1.5,2.0,2.0
moški,ženski,srednja šola,srednja šola,4.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,80.0,17.752508361204015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
moški,ženski,zaključen študij (fakulteta),zaključen študij (fakulteta),3.0,Prvorojenega/edinega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,84.0,15.0,2.0,1.75,1.8571428571428572,2.0,1.875,2.0,1.25,1.6666666666666667,2.0,1.8333333333333333
moški,ženski,zaključen študij (fakulteta),srednja šola,4.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,77.0,13.0,1.1428571428571428,0.25,0.14285714285714285,0.4,1.0,1.0,0.5,1.0,2.0,1.5833333333333333
ženski,ženski,zaključen študij (fakulteta),srednja šola,4.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,80.0,11.0,1.9285714285714286,1.125,1.4285714285714286,1.0,1.625,1.75,1.0,0.16666666666666666,1.0,0.8333333333333334
moški,ženski,zaključen študij (fakulteta),srednja šola,2.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,79.0,71.0,0.9285714285714286,1.625,1.214836011446181,0.6,1.75,1.75,1.25,1.0,1.2857142857142858,0.5833333333333334
ženski,ženski,srednja šola,zaključen študij (fakulteta),4.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,83.0,14.0,2.0,1.625,2.0,2.0,1.375,1.0,1.25,1.0,1.5714285714285714,1.0
ženski,moški,zaključen študij (fakulteta),magisterij ali doktorat znanosti,4.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,85.0,16.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.3333333333333333
ženski,ženski,magisterij ali doktorat znanosti,srednja šola,4.0,Prvorojenega/edinega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,81.0,13.0,2.0,1.875,1.8571428571428572,1.8,1.875,2.0,1.5,2.0,1.5714285714285714,1.4166666666666667
moški,ženski,magisterij ali doktorat znanosti,srednja šola,6.0,Tretje ali kasneje rojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,"Sistem vključevanja otrok v vrtec je primerno narejen. Je pa zaradi preveč horizontalne vzgoje otrok in premalo spodbude individualnimi lasrnostim oziroma sposobnostim posameznega otroka. Preveč je sistemskega ukvarjanja z otorki s slabšimi sposobnostimi in premalo dela z otroki z boljšimi ali izjemnimi sposobnostmi na posameznem področju. Tak način dela se zatem nadaljuje tudi v šoli, kar lahko bistveno vpliva na razvojno obdobje otroka v letih osamosvajanja (po 12. letu). Skratka pogrešam sistemsko ureditev dela z vsemi otroki po njihovih sposobnostih. Ta del ne more biti v celoti prevaljen na starše, saj otrok v sistemski ureditvi vrtca ali šole preživi vsaj 8 ur dneva.",78.0,21.0,1.0,0.5,0.7142857142857143,0.8,1.0,1.1406976744186046,0.75,1.0,1.4285714285714286,0.6666666666666666
ženski,ženski,srednja šola,srednja šola,3.0,Tretje ali kasneje rojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Bosanščina,ne,,96.0,38.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ženski,moški,srednja šola,srednja šola,2.0,Prvorojenega/edinega otroka,da,ni bila zaposlena,5.0,Bosanščina,ne,,83.0,13.0,1.3571428571428572,0.625,0.5714285714285714,0.6,1.125,1.0,0.0,0.6666666666666666,1.0,0.75
moški,ženski,srednja šola,osnovna šola ali manj,5.0,Tretje ali kasneje rojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,85.0,17.0,1.9285714285714286,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.8571428571428572,1.9166666666666667
