spol,spol_starša,izob_matere,izob_očeta,število,izpolnjeval,vključen,status_matere,status_očeta,jezik,OPP,drugo,age_in_months,starost_vkljucitev,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
0,1,3,3,5.0,0,da,3,3,8,1,,85.0,16.0,2.0,2.0,2.0,2.0,2.0,2.0,0.5,1.5,2.0,2.0
0,1,1,1,4.0,1,da,3,3,7,1,,80.0,17.752508361204015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1,2,2,3.0,0,da,3,3,7,1,,84.0,15.0,2.0,1.75,1.8571428571428568,2.0,1.875,2.0,1.25,1.6666666666666667,2.0,1.8333333333333333
0,1,2,1,4.0,1,da,3,3,7,1,,77.0,13.0,1.1428571428571428,0.25,0.1428571428571428,0.4,1.0,1.0,0.5,1.0,2.0,1.5833333333333333
1,1,2,1,4.0,1,da,3,3,7,1,,80.0,11.0,1.9285714285714288,1.125,1.4285714285714286,1.0,1.625,1.75,1.0,0.1666666666666666,1.0,0.8333333333333334
0,1,2,1,2.0,1,da,3,3,7,1,,79.0,71.0,0.9285714285714286,1.625,1.214836011446181,0.6,1.75,1.75,1.25,1.0,1.2857142857142858,0.5833333333333334
1,1,1,2,4.0,1,da,3,3,7,1,,83.0,14.0,2.0,1.625,2.0,2.0,1.375,1.0,1.25,1.0,1.5714285714285714,1.0
1,0,2,3,4.0,1,da,3,3,7,1,,85.0,16.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.3333333333333333
1,1,3,1,4.0,0,da,3,3,7,1,,81.0,13.0,2.0,1.875,1.8571428571428568,1.8,1.875,2.0,1.5,2.0,1.5714285714285714,1.4166666666666667
0,1,3,1,6.0,2,da,3,3,7,1,"Sistem vključevanja otrok v vrtec je primerno narejen. Je pa zaradi preveč horizontalne vzgoje otrok in premalo spodbude individualnimi lasrnostim oziroma sposobnostim posameznega otroka. Preveč je sistemskega ukvarjanja z otorki s slabšimi sposobnostimi in premalo dela z otroki z boljšimi ali izjemnimi sposobnostmi na posameznem področju. Tak način dela se zatem nadaljuje tudi v šoli, kar lahko bistveno vpliva na razvojno obdobje otroka v letih osamosvajanja (po 12. letu). Skratka pogrešam sistemsko ureditev dela z vsemi otroki po njihovih sposobnostih. Ta del ne more biti v celoti prevaljen na starše, saj otrok v sistemski ureditvi vrtca ali šole preživi vsaj 8 ur dneva.",78.0,21.0,1.0,0.5,0.7142857142857143,0.8,1.0,1.1406976744186046,0.75,1.0,1.4285714285714286,0.6666666666666666
1,1,1,1,3.0,2,da,3,3,2,1,,96.0,38.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
0,1,1,0,5.0,2,da,3,3,7,1,,85.0,17.0,1.9285714285714288,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.8571428571428568,1.9166666666666667
1,1,1,1,5.0,1,da,3,3,7,1,"Ne. Izredno hvaležna sva kot starša, da so vzgojitelji našima deklicama v predšolski doobi pomagali nadgraditi že osvojene spretnosti, skrb za lastno telo in higijeno ter omogočil celosteni razvoj z gibanjem, glasbo, ustvarjalnim delom. Vzgojne ustanove (vrtec v tem primeru) se je pri nas izkazal kot odlična podpora pri vzgoji deloovnih navad in reda, vendar obe navedeni, sta pridobljeni doma, kakor je tudi prav.",86.0,11.0,-1.0,-0.25,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.1428571428571428,0.25
0,1,1,1,2.0,0,da,3,3,7,0,,82.0,13.0,2.0,2.0,2.0,2.0,1.625,1.75,2.0,2.0,1.8571428571428568,1.4166666666666667
0,1,2,2,3.0,1,da,3,3,7,1,,85.0,18.0,1.7142857142857142,1.0,0.5714285714285714,0.6,1.875,1.75,0.0,0.5,1.7142857142857142,0.9166666666666666
1,1,3,2,4.0,0,da,3,2,7,1,,85.0,12.0,2.0,1.625,1.8571428571428568,1.8,1.875,1.25,0.25,1.5,1.2857142857142858,0.3333333333333333
1,1,1,1,4.0,1,da,3,1,8,1,,83.0,15.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
